date,well_name,bhp,bht,dp_tubing,AVG_CHOKE_SIZE_P,thp,tht,choke_size_percentage,QL,QG,well6_inj,well7_inj
2014-07-10,15/9-F-1 C,215.165233125,108.14286208333333,164.23292125,46.79164125,50.932311875,57.48888791666667,22.479929791666667,703.38,73240.81,0.0,0.0
2014-07-11,15/9-F-1 C,215.18770520833334,108.14442125,164.69582291666666,46.78772979166666,50.49188229166667,56.119412708333336,22.037508541666668,744.89,72894.63,0.0,0.0
2014-07-12,15/9-F-1 C,215.46357625,108.14204229166667,165.92741708333332,46.859409791666664,49.536159166666664,56.63337875,21.080241666666666,692.31,72637.03,0.0,0.0
2014-07-13,15/9-F-1 C,215.75903729166666,108.134254375,166.74310729166666,46.800471875,49.01593,57.20372041666667,20.539875208333335,681.38,71515.34,0.0,0.0
2014-07-14,15/9-F-1 C,215.97684375,108.12051979166667,167.41170708333334,47.002657291666665,48.56513666666667,56.77503229166667,20.10156125,707.3399999999998,73095.92,0.0,0.0
2014-07-15,15/9-F-1 C,215.05076083333333,108.14456916666667,166.18858895833333,47.88535770833333,48.862171875,56.39544583333333,20.379876875,722.88,70443.1,0.0,0.0
2014-07-16,15/9-F-1 C,214.82744666666667,108.14955,166.34190645833334,47.76055458333333,48.48554020833333,56.41817270833333,20.016264791666668,710.12,69327.14,0.0,0.0
2014-07-17,15/9-F-1 C,214.76105791666666,108.15141541666667,166.58482583333333,47.713503958333334,48.17623208333333,55.02667833333334,19.70736875,705.52,68816.51,0.0,0.0
2014-07-18,15/9-F-1 C,214.92327895833333,108.147955625,167.47418229166666,47.695167291666664,47.44909666666667,58.93711104166667,19.009266458333332,700.33,68361.17,0.0,0.0
2014-07-19,15/9-F-1 C,215.03451333333334,108.14724333333334,167.63869291666666,47.686235,47.395820416666666,58.306706875,18.922445833333335,698.7599999999999,68466.24,0.0,0.0
2014-07-20,15/9-F-1 C,216.04491832856903,108.02094227063711,168.82707762488258,43.933952291666664,47.217840703686456,55.548099895086956,18.539169488871224,460.56459793742687,48091.79601243004,0.0,0.0
2014-07-21,15/9-F-1 C,215.11191583333334,108.142285,170.29972791666665,47.97656,44.812187916666666,56.696215625,16.28781875,743.02,72965.95,0.0,0.0
2014-07-22,15/9-F-1 C,215.06211645833332,108.17622895833334,168.71596854166665,47.700909583333335,46.346147916666666,58.75582166666667,17.86825,710.87,69274.03,0.0,0.0
2014-07-23,15/9-F-1 C,215.20504229166667,108.18169791666666,169.04784541666666,47.718328541666665,46.157196875,58.98481395833333,17.68069,705.12,69890.63,0.0,0.0
2014-07-24,15/9-F-1 C,215.37842395833334,108.18226645833333,169.28101479166668,47.633364791666665,46.097409166666665,59.719150625,17.614390208333333,699.0300000000001,69742.96,0.0,0.0
2014-07-25,15/9-F-1 C,215.5264675,108.18259291666666,169.77094645833333,47.65598479166667,45.75552104166667,59.46733520833333,17.268634791666667,697.61,69237.42,0.0,0.0
2014-07-26,15/9-F-1 C,215.61353270833334,108.183284375,170.11225,47.609579583333336,45.501282708333335,60.03879375,17.04690666666667,710.4,68830.6,0.0,0.0
2014-07-27,15/9-F-1 C,215.84410458333332,108.182708125,170.95729833333334,47.59103270833333,44.88680625,58.891433125,16.437135625,720.9500000000002,68637.71,0.0,0.0
2014-07-28,15/9-F-1 C,216.08671333333334,108.18264020833334,171.44501375,47.60245354166667,44.641699583333335,59.25229625,16.195364583333333,703.21,68330.74,0.0,0.0
2014-07-29,15/9-F-1 C,215.96572375,108.191258125,171.36745208333335,48.1316,44.59827166666667,56.663951875,16.150985208333335,740.2599999999999,71884.8,0.0,0.0
2014-07-30,15/9-F-1 C,214.62624645833333,108.23273916666666,169.63605541666666,48.716769166666666,44.99019104166667,57.164944375,16.521602291666667,732.6,72278.48,0.0,0.0
2014-07-31,15/9-F-1 C,215.092216875,108.21981333333333,171.84478916666666,48.717893125,43.24742770833333,58.959274791666665,14.724694583333333,594.27,56054.71,0.0,0.0
2014-08-01,15/9-F-1 C,215.02680083333334,108.22088375,171.35553333333334,48.721320625,43.6712675,59.04387666666667,15.149589375,596.65,56399.27,0.0,0.0
2014-08-02,15/9-F-1 C,215.15461583333334,108.2167,172.01562916666666,48.704525,43.13898666666667,58.062896875,14.60492125,597.34,56289.52,0.0,0.0
2014-08-03,15/9-F-1 C,215.1299525,108.21664916666667,171.87886208333333,48.69856083333333,43.25109041666666,57.608462083333336,14.743590625,590.34,56568.78,0.0,0.0
2014-08-04,15/9-F-1 C,212.89510270833333,108.26196583333333,168.85866416666667,49.53813770833333,44.03643854166667,56.58262104166667,15.51763875,646.24,61912.18,0.0,0.0
2014-08-05,15/9-F-1 C,210.16669395833333,108.32515333333333,166.75778916666667,49.63278125,43.408904791666664,63.582511875,14.91257,769.9699999999999,75078.33,0.0,0.0
2014-08-06,15/9-F-1 C,209.822861875,108.32050770833334,167.205560625,49.59429395833333,42.61730125,62.68489354166667,14.107544791666667,722.54,69712.66,0.0,0.0
2014-08-07,15/9-F-1 C,210.09380645833335,108.30718638297873,169.04300229166665,50.194875,41.050804166666666,60.702031875,12.535359375,814.9200000000001,77390.65,0.0,0.0
2014-08-08,15/9-F-1 C,210.18405208333334,108.29701354166667,169.81861333333333,50.21089125,40.36543875,62.56045770833333,11.8383425,815.52,76994.95,0.0,0.0
2014-08-09,15/9-F-1 C,210.54521979166665,108.283063125,170.39707145833333,49.946295416666665,40.14814833333333,58.139879791666665,11.605805625,783.3299999999999,73656.88,0.0,0.0
2014-08-10,15/9-F-1 C,210.63094708333333,108.28098729166666,170.85841791666667,50.239226875,39.772529166666665,56.230880416666665,11.218987291666666,812.39,76002.49,0.0,0.0
2014-08-11,15/9-F-1 C,213.44830479166666,108.17050020833334,176.09832521719858,49.43711270833333,37.34997957446809,50.72395541666667,8.751239157801418,592.3,52975.29,0.0,0.0
2014-08-12,15/9-F-1 C,215.50558666666666,108.13843708333333,178.41154770833333,48.82824395833333,37.094038958333336,44.267469375,8.481566666666666,527.36,44830.19,0.0,0.0
2014-08-13,15/9-F-1 C,215.89499104166666,108.15935625,178.0034325,48.57821125,37.89155854166667,50.890079166666666,9.290505625,513.62,44300.38,0.0,0.0
2014-08-14,15/9-F-1 C,215.85510708333334,108.188661875,177.02265666666668,48.498236041666665,38.83245041666667,56.830907708333335,10.254388958333333,546.17,47071.12,0.0,0.0
2014-08-15,15/9-F-1 C,215.776775,108.20372145833333,176.23341625,48.471804375,39.54335875,57.329050625,10.978174166666667,545.21,46462.15,0.0,0.0
2014-08-16,15/9-F-1 C,216.00179125,108.20238416666666,176.63536125,48.479274583333336,39.36643,52.84613395833333,10.795766458333333,542.74,44219.4,0.0,0.0
2014-08-17,15/9-F-1 C,216.01608520833332,108.21058979166666,176.17745625,48.47285604166667,39.83862895833333,53.757828125,11.25882875,543.28,44243.43,0.0,0.0
2014-08-18,15/9-F-1 C,216.08165916666667,108.21504041666667,176.08040354166667,48.446861041666665,40.001255625,57.06408604166667,11.42737125,540.26,44083.13,0.0,0.0
2014-08-19,15/9-F-1 C,217.06524887895046,108.21478894066514,176.476010964746,15.61403125,40.58923791420447,56.848805223161165,12.716694342214065,0.0,0.0,0.0,0.0
2014-09-02,15/9-F-1 C,284.44077056890325,100.7370077507613,243.63587828343225,3.7343420833333334,40.80489228547097,20.767562621625807,35.6513643552,0.0,0.0,0.0,0.0
